composer/composer,src/Composer/Util/Filesystem.php,Jordi Boggiano,9.52069010736027
composer/composer,src/Composer/Util/GitHub.php,Jordi Boggiano,5.20765125625485
composer/composer,src/Composer/Util/Git.php,Jordi Boggiano,5.09399951008051
composer/composer,src/Composer/Util/NoProxyPattern.php,Jordi Boggiano,3.83199951008052
composer/composer,src/Composer/Util/NoProxyPattern.php,radnan,4.05149926512077
composer/composer,src/Composer/Util/Perforce.php,matt-whittom,6.6251510112951
composer/composer,src/Composer/Util/ProcessExecutor.php,Jordi Boggiano,4.68584521037779
composer/composer,src/Composer/Util/RemoteFilesystem.php,Jordi Boggiano,9.86903827159821
composer/composer,src/Composer/Util/SpdxLicenseIdentifier.php,Tom Klingenberg,4.20234545533754
composer/composer,src/Composer/Util/StreamContextFactory.php,Jordan Alliot,3.78069010736027
composer/composer,src/Composer/Util/StreamContextFactory.php,Jordi Boggiano,4.98919066571533
composer/composer,src/Composer/Util/Svn.php,till,3.64936235223376
composer/composer,src/Composer/Util/Svn.php,Jordi Boggiano,4.69899902016103
composer/composer,tests/bootstrap.php,Nils Adermann,3.5438625971935
composer/composer,tests/bootstrap.php,Jordi Boggiano,4.48799951008052
composer/composer,tests/Composer/Test/AllFunctionalTest.php,Jordi Boggiano,5.58599951008052
composer/composer,tests/Composer/Test/ApplicationTest.php,Craig Duncan,4.391
composer/composer,tests/Composer/Test/Autoload/AutoloadGeneratorTest.php,Jordi Boggiano,9.20972568430649
composer/composer,tests/Composer/Test/Autoload/ClassLoaderTest.php,Jordi Boggiano,3.56249975504026
composer/composer,tests/Composer/Test/Autoload/ClassLoaderTest.php,Andreas Hennings,3.87437043010865
composer/composer,tests/Composer/Test/Autoload/ClassMapGeneratorTest.php,Benjamin Eberlei,3.35774086021731
composer/composer,tests/Composer/Test/Autoload/ClassMapGeneratorTest.php,Jordi Boggiano,4.06371588544619
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap2.php,Jordi Boggiano,3.39849975504026
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap2.php,Martin HasoÃ…Ë†,3.94599951008052
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap3.php,Jordi Boggiano,3.33999951008052
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap3.php,Martin HasoÃ…Ë†,4.20237043010865
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap4.php,Jordi Boggiano,3.43237043010865
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap4.php,Martin HasoÃ…Ë†,4.30784521037779
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap5.php,Jordi Boggiano,4.27399951008052
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap6.php,Jordi Boggiano,4.33249975504026
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap7.php,Bilal Amarni,4.391
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_classmap.php,Martin HasoÃ…Ë†,3.87437043010865
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_files2.php,Bilal Amarni,4.391
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_files_files_by_dependency.php,Andreas Hennings,4.36634545533754
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_files_functions.php,Andreas Hennings,4.27399951008052
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_files.php,Andreas Hennings,4.36634545533754
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_files_target_dir.php,Andreas Hennings,4.36634545533754
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_functions_by_dependency.php,Filip ProchÃƒÂ¡zka,4.03834545533754
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_functions.php,Jordi Boggiano,4.14384521037779
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_main2.php,Jordi Boggiano,4.69434545533754
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_main3.php,Jordi Boggiano,4.76599951008052
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_main4.php,Bilal Amarni,4.391
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_main5.php,Jordi Boggiano,4.391
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_main.php,Jordi Boggiano,4.85834545533754
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_psr4_2.php,Andreas Hennings,4.391
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_psr4_3.php,Andreas Hennings,4.391
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_psr4.php,Andreas Hennings,4.391
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_real_files_by_dependency.php,Filip ProchÃƒÂ¡zka,3.46319066571533
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_real_functions.php,Victor Berchet,3.75736994018917
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_real_functions.php,Jordi Boggiano,3.7578625971935
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_real_include_path.php,Pierre du Plessis,3.76636284215324
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_real_target_dir.php,Victor Berchet,3.79119066571533
composer/composer,tests/Composer/Test/Autoload/Fixtures/autoload_real_target_dir.php,Jordi Boggiano,3.80734496541805
